loss,mae,rmse,mse,r2,total_energy_kwh,avg_energy_kwh,anomaly_count,detection_recall,detection_precision,round
0.009373020486240332,0.09054429084062576,0.18751850632891154,0.035163190215826035,0.4749160999046844,23025.248046875,0.17268720269203186,3041,0.0630611854212788,0.5219766939341182,1
0.02346840487904086,0.09408620744943619,0.1688039827980469,0.028494784608483315,0.5744938788612226,23025.248046875,0.17268720269203186,3041,0.08906989590015306,0.6734458559924792,2
0.016510330407113794,0.07800956815481186,0.16393164684319322,0.02687358483672142,0.5987028774574648,23025.248046875,0.17268720269203186,3041,0.07745536563596386,0.5165465159594104,3
0.019000858377587533,0.07804957777261734,0.16059345952453294,0.0257902592420578,0.6148799423403875,23025.248046875,0.17268720269203186,3041,0.08190585171286709,0.535383135143785,4
0.03255191995865655,0.0728493332862854,0.1574248905224364,0.02478259615600109,0.6299271380237912,23025.248046875,0.17268720269203186,3041,0.089716249164779,0.6577763512624917,5
0.007226368713364416,0.07063121348619461,0.16126016728003434,0.026004841551184654,0.6116756340561382,23025.248046875,0.17268720269203186,3041,0.06536662452681513,0.49079717117820454,6
0.02068612361478891,0.07222253084182739,0.1622756140108735,0.02633337490260601,0.6067697000486147,23025.248046875,0.17268720269203186,3041,0.08382304465420208,0.5920943946259996,7
0.025066880389360315,0.06967710703611374,0.15961314785531816,0.025476356968283653,0.6195673560409982,23025.248046875,0.17268720269203186,3041,0.08360153732862566,0.6042012687856181,8
0.011678169942505149,0.07090014219284058,0.1612290528464574,0.025994807481765747,0.61182547030262,23025.248046875,0.17268720269203186,3041,0.07012022389482067,0.4863706130075382,9
0.007125511669015899,0.06997635215520859,0.16317235062115354,0.026625216007232666,0.6024117073512179,23025.248046875,0.17268720269203186,3041,0.0806725280926783,0.5608238420798116,10
0.01994204277788785,0.07242365181446075,0.1617258890391427,0.0261552631855011,0.6094294027931882,23025.248046875,0.17268720269203186,3041,0.07833415719446868,0.5639145792183197,11
0.016942049763766093,0.07159671187400818,0.1578058151679987,0.024902675300836563,0.6281340246945446,23025.248046875,0.17268720269203186,3041,0.07698978571982626,0.5260580755708358,12
0.010460514255518725,0.07276725023984909,0.16105311763756083,0.025938106700778008,0.6126721544647646,23025.248046875,0.17268720269203186,3041,0.08297238367186031,0.5793230685372939,13
0.010743425430968834,0.0709247887134552,0.16336587191505292,0.026688408106565475,0.6014680944493327,23025.248046875,0.17268720269203186,3041,0.07986193473843788,0.5899973085917863,14
0.009932411079764886,0.07142602652311325,0.1624433283378521,0.026387834921479225,0.6059564829605018,23025.248046875,0.17268720269203186,3041,0.08204609442433884,0.5829482019371789,15
0.012936524075364272,0.07084596157073975,0.16236685217669608,0.02636299468576908,0.6063274096976863,23025.248046875,0.17268720269203186,3041,0.08131600913430116,0.5694356322119902,16
0.017252143776048133,0.07104167342185974,0.16125696196793127,0.02600380778312683,0.6116910551588783,23025.248046875,0.17268720269203186,3041,0.07823284084200695,0.5119947382565196,17
0.013671087533733386,0.07342727482318878,0.16344162420645453,0.026713164523243904,0.6010983981192817,23025.248046875,0.17268720269203186,3041,0.07865401157235365,0.4859683339247705,18
0.011730597733219111,0.07365882396697998,0.16642924002214018,0.027698691934347153,0.5863817444767023,23025.248046875,0.17268720269203186,3041,0.061960663107071226,0.5073247072308253,19
0.011981169798772288,0.0731138214468956,0.15879676842378618,0.025216413661837578,0.6234490444658201,23025.248046875,0.17268720269203186,3041,0.07706932309953617,0.5176794368303448,20
